"industry_raw","sector_native"
"Biotechnology: Pharmaceutical Preparations","Health Care"
"Major Banks","Finance"
"Computer Software: Prepackaged Software","Technology"
"Industrial Machinery/Components","Capital Goods"
"Real Estate Investment Trusts","Finance"
"Finance: Consumer Services","Finance"
"EDP Services","Technology"
"Biotechnology: Biological Products (No Diagnostic Substances)","Health Care"
"Medical/Dental Instruments","Health Care"
"Oil & Gas Production","Energy"
"Semiconductors","Technology"
"Business Services","Consumer Services"
"Telecommunications Equipment","Technology"
"Investment Managers","Finance"
"Computer Software: Programming Data Processing","Technology"
"Other Consumer Services","Consumer Services"
"Precious Metals","Basic Industries"
"Property-Casualty Insurers","Finance"
"Marine Transportation","Transportation"
"Major Chemicals","Basic Industries"
"Electric Utilities: Central","Public Utilities"
"Real Estate","Finance"
"Industrial Specialties","Basic Industries"
"Investment Bankers/Brokers/Service","Finance"
"Restaurants","Consumer Services"
"Services-Misc. Amusement & Recreation","Consumer Services"
"Blank Checks","Finance"
"Professional Services","Consumer Services"
"Metal Fabrications","Capital Goods"
"Medical Specialities","Health Care"
"Packaged Foods","Consumer Non-Durables"
"Other Specialty Stores","Consumer Services"
"Military/Government/Technical","Capital Goods"
"Metal Mining","Basic Industries"
"Auto Parts:O.E.M.","Consumer Durables"
"Diversified Commercial Services","Consumer Services"
"Beverages (Production/Distribution)","Consumer Non-Durables"
"Electrical Products","Capital Goods"
"Hotels/Resorts","Consumer Services"
"Savings Institutions","Finance"
"Commercial Banks","Finance"
"Homebuilding","Consumer Durables"
"Specialty Insurers","Finance"
"Aerospace","Capital Goods"
"Auto Manufacturing","Consumer Durables"
"Catalog/Specialty Distribution","Consumer Services"
"Medical/Nursing Services","Health Care"
"Biotechnology: Electromedical & Electrotherapeutic Apparatus","Health Care"
"Advertising","Consumer Services"
"Apparel","Consumer Non-Durables"
"Steel/Iron Ore","Basic Industries"
"Broadcasting","Public Utilities"
"Clothing/Shoe/Accessory Stores","Consumer Services"
"Medicinal Chemicals and Botanical Products","Health Care"
"Package Goods/Cosmetics","Consumer Non-Durables"
"Banks","Finance"
"Farming/Seeds/Milling","Consumer Non-Durables"
"Life Insurance","Finance"
"Mining & Quarrying of Nonmetallic Minerals (No Fuels)","Basic Industries"
"Transportation Services","Transportation"
"Consumer Electronics/Appliances","Consumer Durables"
"Natural Gas Distribution","Public Utilities"
"Biotechnology: Laboratory Analytical Instruments","Health Care"
"Home Furnishings","Consumer Durables"
"Power Generation","Public Utilities"
"Electronic Components","Technology"
"Finance Companies","Finance"
"Oilfield Services/Equipment","Energy"
"Radio And Television Broadcasting And Communications Equipment","Technology"
"Retail-Auto Dealers and Gas Stations","Consumer Services"
"Trucking Freight/Courier Services","Transportation"
"Trusts Except Educational Religious and Charitable","Finance"
"Air Freight/Delivery Services","Transportation"
