market_snapshot_id,symbol_yahoo,symbol_original,company,exchange,is_sp500,quote_success,historical_data_available,valid_trading_days,market_cap_quote,shares_outstanding_quote,market_cap_from_shares,quote_price,latest_close,analysis_exclusion_reason
M_2026-08-22_105907,2602335D,2602335D,CONTRA HOLOGIC INCORPO,,TRUE,FALSE,FALSE,0,,,,,,No valid quote or historical-price data
M_2026-08-22_105907,AAP,AAP,Advance Auto Parts Inc.,NYSE,FALSE,TRUE,TRUE,30,,,,42.58,42.58000183105469,Missing positive current market capitalization
M_2026-08-22_105907,ABXL,ABXL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,NYSE,FALSE,TRUE,TRUE,30,,,,25.449,25.448999404907227,Missing positive current market capitalization
M_2026-08-22_105907,ADAMG,ADAMG,Adamas Trust Inc. 9.125% Senior Notes Due 2030,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.24,25.239999771118164,Missing positive current market capitalization
M_2026-08-22_105907,ADAMH,ADAMH,Adamas Trust Inc. 9.875% Senior Notes Due 2030,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.48,25.479999542236328,Missing positive current market capitalization
M_2026-08-22_105907,ADAMI,ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.248,25.24799919128418,Missing positive current market capitalization
M_2026-08-22_105907,ADAMK,ADAMK,Adamas Trust Inc. 9.600% Senior Notes Due 2031,NASDAQ,FALSE,TRUE,TRUE,5,,,,25.11,25.110000610351563,Missing positive current market capitalization
M_2026-08-22_105907,ADAMO,ADAMO,Adamas Trust Inc. 9.250% Senior Notes Due 2031,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.0821,25.082000732421875,Missing positive current market capitalization
M_2026-08-22_105907,ADI,ADI,Analog Devices Inc. Common Stock,NASDAQ,TRUE,TRUE,TRUE,30,,,,373.09,373.0899963378906,Missing positive current market capitalization
M_2026-08-22_105907,AEFC,AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,FALSE,TRUE,TRUE,30,,,,18.06,18.059999465942383,Missing positive current market capitalization
M_2026-08-22_105907,AEO,AEO,American Eagle Outfitters Inc. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,16.17,16.170000076293945,Missing positive current market capitalization
M_2026-08-22_105907,AI,AI,C3.ai Inc. Class A Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,10.3,10.300000190734863,Missing positive current market capitalization
M_2026-08-22_105907,AIB,AIB,AIB Data Centers Inc. Common Stock,AMEX,FALSE,TRUE,TRUE,30,,,,1.4,1.399999976158142,Missing positive current market capitalization
M_2026-08-22_105907,AIZN,AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,NYSE,FALSE,TRUE,TRUE,30,,,,18.44,18.440000534057617,Missing positive current market capitalization
M_2026-08-22_105907,AMC,AMC,AMC Entertainment Holdings Inc. Class A Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,2.55,2.549999952316284,Missing positive current market capitalization
M_2026-08-22_105907,AMH,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,NYSE,FALSE,TRUE,TRUE,30,,,,34.35,34.349998474121094,Missing positive current market capitalization
M_2026-08-22_105907,AOMD,AOMD,Angel Oak Mortgage REIT Inc. 9.750% Senior Notes due 2030,NYSE,FALSE,TRUE,TRUE,30,,,,25.1,25.100000381469727,Missing positive current market capitalization
M_2026-08-22_105907,AOMN,AOMN,Angel Oak Mortgage REIT Inc. 9.500% Senior Notes due 2029,NYSE,FALSE,TRUE,TRUE,30,,,,25.15,25.149999618530273,Missing positive current market capitalization
M_2026-08-22_105907,APOS,APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,NYSE,FALSE,TRUE,TRUE,30,,,,25.42,25.420000076293945,Missing positive current market capitalization
M_2026-08-22_105907,AQNB,AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,NYSE,FALSE,TRUE,TRUE,30,,,,26.06,26.059999465942383,Missing positive current market capitalization
M_2026-08-22_105907,ARL,ARL,American Realty Investors Inc. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,15.21,15.210000038146973,Missing positive current market capitalization
M_2026-08-22_105907,AS,AS,Amer Sports Inc. Ordinary Shares,NYSE,FALSE,TRUE,TRUE,30,,,,32.63,32.630001068115234,Missing positive current market capitalization
M_2026-08-22_105907,ASA,ASA,ASA Gold and Precious Metals Limited,NYSE,FALSE,TRUE,TRUE,30,,,,63.27,63.27000045776367,Missing positive current market capitalization
M_2026-08-22_105907,ASBA,ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,NYSE,FALSE,TRUE,TRUE,30,,,,24.73,24.729999542236328,Missing positive current market capitalization
M_2026-08-22_105907,ASR,ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,262.58,262.5799865722656,Missing positive current market capitalization
M_2026-08-22_105907,ASTI,ASTI,Ascent Solar Technologies Inc. Common Stock,NASDAQ,FALSE,TRUE,TRUE,30,,,,3.09,3.0899999141693115,Missing positive current market capitalization
M_2026-08-22_105907,ATLCL,ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.1201,25.1200008392334,Missing positive current market capitalization
M_2026-08-22_105907,ATLCZ,ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,NASDAQ,FALSE,TRUE,TRUE,30,,,,25.39,25.389999389648438,Missing positive current market capitalization
M_2026-08-22_105907,AZO,AZO,AutoZone Inc. Common Stock,NYSE,TRUE,TRUE,TRUE,30,,,,2957.95,2957.949951171875,Missing positive current market capitalization
M_2026-08-22_105907,BBW,BBW,Build-A-Bear Workshop Inc. Common Stock,NYSE,FALSE,TRUE,TRUE,30,,,,38.89,38.88999938964844,Missing positive current market capitalization
M_2026-08-22_105907,BBY,BBY,Best Buy Co. Inc. Common Stock,NYSE,TRUE,TRUE,TRUE,30,,,,85.89,85.88999938964844,Missing positive current market capitalization
