symbol_original,company,exchange,exchange_last_sale_at_universe_build,exchange_market_cap_at_universe_build,country,ipo_year,sector_raw,industry_raw,symbol_yahoo,security_type,sector_exchange_clean,industry_clean,sp500_symbol_original,sp500_company,sp500_weight,sp500_sector_raw,sp500_sector_clean,is_sp500,benchmark_group,sector_clean,sector_display,industry_display,symbol_was_normalized,universe_as_of,universe_build_id,security_type_method,source_record,universe_symbol_hash,quote_trade_time,quote_price,market_cap_quote,trailing_pe,price_to_book,shares_outstanding_quote,average_daily_volume_3m_quote,average_daily_volume_10d_quote,eps_trailing_ttm,eps_forward,earnings_timestamp,fifty_two_week_high,fifty_two_week_low,return_52_week_pct,quote_success,valid_trading_days,latest_history_date,earliest_history_date_used,latest_close,avg_daily_share_volume_raw,avg_daily_dollar_volume_raw,historical_data_available,liquidity_history_adequate,avg_daily_share_volume_30d,avg_daily_dollar_volume_30d,valid_yahoo_data,reference_price,price_source,market_cap_from_shares,market_cap,market_cap_source,operating_margin,analysis_eligible,analysis_exclusion_reason,market_snapshot_id,market_data_as_of,market_retrieved_at
2602335D,CONTRA HOLOGIC INCORPO,,,,,,,,2602335D,Common Equity,,,2602335D,CONTRA HOLOGIC INCORPO,3.0046922776954635e-8,,,TRUE,S&P 500,,Unclassified,Unclassified,FALSE,2026-08-22,U_2026-08-22_105850,S&P 500 constituent supplement,S&P 500 supplement,ada3c779e8d04137,,,,,,,,,,,,,,,FALSE,0,,,,,,FALSE,FALSE,,,FALSE,,Unavailable,,,Unavailable,,FALSE,No valid quote or historical-price data,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
A,Agilent Technologies Inc. Common Stock,NYSE,159,44906679096,United States,1999,,Biotechnology: Laboratory Analytical Instruments,A,Common Equity,,Biotechnology: Laboratory Analytical Instruments,A,AGILENT TECHNOLOGIES INC,6.728006791806425e-4,,,TRUE,S&P 500,,Unclassified,Biotechnology: Laboratory Analytical Instruments,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:04:05,159,44906676224,31.927711,6.3005233,282431944,2278000,1765810,4.98,6.6089,2026-08-26 16:00:00,160.51,108.35,33.44524,TRUE,30,2026-08-21,2026-07-13,159,1936690,274226865.85128784,TRUE,TRUE,1936690,274226865.85128784,TRUE,159,Fresh Yahoo quote,44906679096,44906676224,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AA,Alcoa Corporation Common Stock,NYSE,51.85,13683704723,United States,2016,,Aluminum,AA,Common Equity,,Aluminum,,,,,,FALSE,Broader Market,,Unclassified,Aluminum,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:02:30,51.85,13683703808,10.779626,1.8566926,263909445,5778237,5766830,4.81,5.79917,,84.38,30.21,63.050316,TRUE,30,2026-08-21,2026-07-13,51.849998474121094,5414033.333333333,258733703.59987894,TRUE,TRUE,5414033.333333333,258733703.59987894,TRUE,51.85,Fresh Yahoo quote,13683704723.25,13683703808,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,0.97,66410099,China,2008,,Other Consumer Services,AACG,ADR,,Other Consumer Services,,,,,,FALSE,Broader Market,,Unclassified,Other Consumer Services,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:00,0.97,41912004,,0.40987745,43208251,231856,1361250,-0.23,-0.99,,2.58,0.74,-46.111115,TRUE,30,2026-08-21,2026-07-13,0.9700000286102295,456150,504149.2394942045,TRUE,TRUE,456150,504149.2394942045,TRUE,0.97,Fresh Yahoo quote,41912003.47,41912004,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AADX,Applied Aerospace & Defense Inc. Common Stock,NYSE,14.96,2579007029,,2026,,Military/Government/Technical,AADX,Common Equity,,Military/Government/Technical,,,,,,FALSE,Broader Market,,Unclassified,Military/Government/Technical,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:02,14.96,2579006976,,3.1153686,172393518,1671850,1482600,-1.2,0.4,2026-08-12 08:30:00,24.24,14.84,-21.304577,TRUE,30,2026-08-21,2026-07-13,14.960000038146973,1120343.3333333333,20508129.279909134,TRUE,TRUE,1120343.3333333333,20508129.279909134,TRUE,14.96,Fresh Yahoo quote,2579007029.28,2579006976,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AAL,American Airlines Group Inc. Common Stock,NASDAQ,13.82,9148424723,United States,,,Air Freight/Delivery Services,AAL,Common Equity,,Air Freight/Delivery Services,,,,,,FALSE,Broader Market,,Unclassified,Air Freight/Delivery Services,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:01,13.82,9148424192,,-2.3029494,661969951,107715304,54322890,-0.5,2.4424,2026-07-23 08:30:00,18.79,10.09,6.3076973,TRUE,30,2026-08-21,2026-07-13,13.819999694824219,85062753.33333333,1287593108.381443,TRUE,TRUE,85062753.33333333,1287593108.381443,TRUE,13.82,Fresh Yahoo quote,9148424722.82,9148424192,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AAME,Atlantic American Corporation Common Stock,NASDAQ,1.35,27536258,United States,,,Life Insurance,AAME,Common Equity,,Life Insurance,,,,,,FALSE,Broader Market,,Unclassified,Life Insurance,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:00,1.35,27536258,5.869565,0.25163096,20397228,16675,25110,0.23,,,3.71,1.32,-60.641396,TRUE,30,2026-08-21,2026-07-13,1.350000023841858,16593.333333333332,24775.066675742466,TRUE,TRUE,16593.333333333332,24775.066675742466,TRUE,1.35,Fresh Yahoo quote,27536257.8,27536258,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,92.3,3275738814,United Kingdom,2014,,Investment Managers,AAMI,Common Equity,,Investment Managers,,,,,,FALSE,Broader Market,,Unclassified,Investment Managers,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:03,92.3,3275738880,32.61484,35.60957,35490128,478938,324270,2.83,6.51333,2026-07-30 08:30:00,93.82,41.47,83.75473,TRUE,30,2026-08-21,2026-07-13,92.30000305175781,384690,33303504.581222534,TRUE,TRUE,384690,33303504.581222534,TRUE,92.3,Fresh Yahoo quote,3275738814.4,3275738880,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,124.82,10555932162,United States,2013,,Semiconductors,AAOI,Common Equity,,Semiconductors,,,,,,FALSE,Broader Market,,Unclassified,Semiconductors,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:01,124.82,10555932672,,6.3145647,84569237,12210233,12894940,-0.77,4.602,2026-08-06 16:00:00,233.67,18.5,412.8184,TRUE,30,2026-08-21,2026-07-13,124.81999969482422,11593423.333333334,1400924558.1747181,TRUE,TRUE,11593423.333333334,1400924558.1747181,TRUE,124.82,Fresh Yahoo quote,10555932162.34,10555932672,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AAON,AAON Inc. Common Stock,NASDAQ,79.44,6550117082,United States,,,Industrial Machinery/Components,AAON,Common Equity,,Industrial Machinery/Components,,,,,,FALSE,Broader Market,,Unclassified,Industrial Machinery/Components,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:01,79.44,6550117376,41.810528,6.482252,82453639,1094548,1379060,1.9,3.528,2026-08-10 08:30:00,150.46,73.19,-4.941964,TRUE,30,2026-08-21,2026-07-13,79.44000244140625,1197306.6666666667,112534549.98947144,TRUE,TRUE,1197306.6666666667,112534549.98947144,TRUE,79.44,Fresh Yahoo quote,6550117082.16,6550117376,Fresh Yahoo market-cap quote,,TRUE,Eligible,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
AAP,Advance Auto Parts Inc.,NYSE,42.58,2571180909,United States,,,Auto & Home Supply Stores,AAP,Common Equity,,Auto & Home Supply Stores,,,,,,FALSE,Broader Market,,Unclassified,Auto & Home Supply Stores,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137,2026-08-21 16:00:03,42.58,,23.78771,1.1319351,,2012900,3415430,1.79,3.89269,2026-08-20 08:30:00,65.21,37.89,-28.412914,TRUE,30,2026-08-21,2026-07-13,42.58000183105469,2134766.6666666665,109373126.0723877,TRUE,TRUE,2134766.6666666665,109373126.0723877,TRUE,42.58,Fresh Yahoo quote,,,Unavailable,,FALSE,Missing positive current market capitalization,M_2026-08-22_105907,2026-08-22,2026-08-22T14:59:07Z
