sp500_symbol_original,sp500_company,sp500_weight_raw,sp500_sector_raw,symbol_yahoo,sp500_sector_clean,sp500_weight,is_sp500,universe_as_of,universe_build_id,universe_symbol_hash
NVDA,NVIDIA CORP,0.079787982844421,,NVDA,,0.07991008157889769,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
AAPL,APPLE INC,0.06945690417051575,,AAPL,,0.06956319336091206,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
MSFT,MICROSOFT CORP,0.054295882486033904,,MSFT,,0.05437897091993712,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
AMZN,AMAZON.COM INC,0.03868182551161102,,AMZN,,0.03874101991374831,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
GOOGL,ALPHABET INC CL A,0.03034660419789168,,GOOGL,,0.030393043296063297,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
AVGO,BROADCOM INC,0.02618365369831232,,AVGO,,0.026223722275892147,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
GOOG,ALPHABET INC CL C,0.0242831295556225,,GOOG,,0.02432028978053577,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
META,META PLATFORMS INC CLASS A,0.018209224561328948,,META,,0.0182370899515228,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
MU,MICRON TECHNOLOGY INC,0.016691483337562645,,MU,,0.016717026143877586,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
LLY,ELI LILLY + CO,0.014953524681457999,,LLY,,0.014976407907408604,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
TSLA,TESLA INC,0.014759888146224935,,TSLA,,0.014782475052165213,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
JPM,JPMORGAN CHASE + CO,0.014309272937961658,,JPM,,0.014331170272055356,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
BRK-B,BERKSHIRE HATHAWAY INC CL B,0.013837227006411466,,BRK-B,,0.013858401973441825,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
AMD,ADVANCED MICRO DEVICES,0.011628082447782613,,AMD,,0.01164587678347892,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
XOM,EXXONMOBIL HOLDINGS CORP,0.010460883054803099,,XOM,,0.010476891237200572,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
JNJ,JOHNSON + JOHNSON,0.009776239948098248,,JNJ,,0.009791200428148617,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
V,VISA INC CLASS A SHARES,0.009219421155463998,,V,,0.00923352954140834,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
MA,MASTERCARD INC A,0.0070325373481355,,MA,,0.007043299168145935,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
ABBV,ABBVIE INC,0.007026017128078073,,ABBV,,0.007036768970262411,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
INTC,INTEL CORP,0.00691111325007219,,INTC,,0.006921689256026674,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
WMT,WALMART INC,0.006898022808269779,,WMT,,0.006908578782054997,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
CSCO,CISCO SYSTEMS INC,0.006574481888763746,,CSCO,,0.0065845427511873915,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
COST,COSTCO WHOLESALE CORP,0.006290212294664945,,COST,,0.006299838142234821,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
BAC,BANK OF AMERICA CORP,0.00613402702341204,,BAC,,0.0061434138622579945,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
PLTR,PALANTIR TECHNOLOGIES INC A,0.006065884723609422,,PLTR,,0.006075167284990605,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
AMAT,APPLIED MATERIALS INC,0.005983151931377685,,AMAT,,0.005992307887612691,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
LRCX,LAM RESEARCH CORP,0.005899989124632957,,LRCX,,0.005909017817674973,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
CVX,CHEVRON CORP,0.005850497454289083,,CVX,,0.005859450410733924,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
CAT,CATERPILLAR INC,0.005703972509072182,,CAT,,0.005712701239891277,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
MRK,MERCK + CO. INC.,0.005590268671567665,,MRK,,0.005598823402566617,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
GE,GENERAL ELECTRIC,0.005461024309570448,,GE,,0.005469381259243498,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
KO,COCA COLA CO/THE,0.005321689607024237,,KO,,0.005329833334226395,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
UNH,UNITEDHEALTH GROUP INC,0.005307929142608563,,UNH,,0.0053160518123126985,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
NFLX,NETFLIX INC,0.005124412948937027,,NFLX,,0.005132254785686067,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
HD,HOME DEPOT INC,0.0050593007514003595,,HD,,0.005067042947619149,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
PG,PROCTER + GAMBLE CO/THE,0.005055600626521145,,PG,,0.005063337160476658,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
PM,PHILIP MORRIS INTERNATIONAL,0.00453290298547576,,PM,,0.004539839640574704,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
GS,GOLDMAN SACHS GROUP INC,0.004488491486587673,,GS,,0.004495360179223885,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
RTX,RTX CORP,0.004343016576809467,,RTX,,0.004349662650678432,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
PANW,PALO ALTO NETWORKS INC,0.004305235301691432,,PANW,,0.004311823559261321,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
GEV,GE VERNOVA INC,0.003944963142506059,,GEV,,0.003951000079273797,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
WFC,WELLS FARGO + CO,0.0038895312716804194,,WFC,,0.0038954833816229116,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
MS,MORGAN STANLEY,0.003776147444976268,,MS,,0.003781926044807874,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
KLAC,KLA CORP,0.003687994469813356,,KLAC,,0.003693638170048256,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
TXN,TEXAS INSTRUMENTS INC,0.0036717739223698803,,TXN,,0.0036773928004668493,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
ORCL,ORACLE CORP,0.0036634136402103573,,ORCL,,0.003669019724653004,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
SNDK,SANDISK CORP,0.0036024015810533607,,SNDK,,0.003607914299365604,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
TMO,THERMO FISHER SCIENTIFIC INC,0.003542199549234787,,TMO,,0.0035476201409931824,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
AMGN,AMGEN INC,0.0035356093268147804,,AMGN,,0.0035410198336231777,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
LIN,LINDE PLC,0.003378754032948612,,LIN,,0.003383924505704333,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
C,CITIGROUP INC,0.003358203339362704,,C,,0.0033633423636021194,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
MRVL,MARVELL TECHNOLOGY INC,0.0033366626123631673,,MRVL,,0.0033417686730482657,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
IBM,INTL BUSINESS MACHINES CORP,0.003334932553973697,,IBM,,0.003340035967168128,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
VZ,VERIZON COMMUNICATIONS INC,0.0031195252839783345,,VZ,,0.003124299061629594,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
ABT,ABBOTT LABORATORIES,0.003019461906839356,,ABT,,0.0030240825585275246,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
PEP,PEPSICO INC,0.0029492595375093912,,PEP,,0.002953772759229451,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
CRWD,CROWDSTRIKE HOLDINGS INC A,0.0029436193471529667,,CRWD,,0.002948123937747383,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
MCD,MCDONALD S CORP,0.0029041780160080403,,MCD,,0.0029086222499366135,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
STX,SEAGATE TECHNOLOGY HOLDINGS,0.0028947276970597764,,STX,,0.002899157469261873,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
ANET,ARISTA NETWORKS INC,0.002881677256607411,,ANET,,0.002886087057853898,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
APH,AMPHENOL CORP CL A,0.002860886554921229,,APH,,0.0028652645403694685,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
DIS,WALT DISNEY CO/THE,0.002830255521123838,,DIS,,0.0028345866322141973,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
ADI,ANALOG DEVICES INC,0.0027452026505894577,,ADI,,0.002749403606141531,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
UNP,UNION PACIFIC CORP,0.0027407625007344,,UNP,,0.0027449566615705416,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
SCHW,SCHWAB (CHARLES) CORP,0.0027257719948048246,,SCHW,,0.0027299432158229896,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
GILD,GILEAD SCIENCES INC,0.0027045212775931187,,GILD,,0.00270865997885598,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
NEE,NEXTERA ENERGY INC,0.0026928708843923484,,NEE,,0.0026969917571775964,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
AXP,AMERICAN EXPRESS CO,0.002676570334248781,,AXP,,0.0026806662624687845,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
T,AT+T INC,0.0026538095660728553,,T,,0.0026578706637220015,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
BA,BOEING CO/THE,0.002575186912558299,,BA,,0.002579127694764529,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
QCOM,QUALCOMM INC,0.0025728568339181447,,QCOM,,0.002576794050428852,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
CRM,SALESFORCE INC,0.002552006130206894,,CRM,,0.0025559114390988685,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
WELL,WELLTOWER INC,0.00254485588888625,,WELL,,0.002548750255837028,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
BLK,BLACKROCK INC,0.0024990943444341248,,BLK,,0.0025029186829612464,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
COP,CONOCOPHILLIPS,0.0024954342209049557,,COP,,0.002499252958382458,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
BKNG,BOOKING HOLDINGS INC,0.0024696133494505443,,BKNG,,0.002473392573512426,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
WDC,WESTERN DIGITAL CORP,0.0024544428374457636,,WDC,,0.002458198846228212,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
ETN,EATON CORP PLC,0.002449012654177079,,ETN,,0.0024527603532055837,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
UBER,UBER TECHNOLOGIES INC,0.0024281119487782714,,UBER,,0.0024318276636709716,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
PFE,PFIZER INC,0.002404251143476092,,PFE,,0.002407930344422367,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
DE,DEERE + CO,0.0023684999368728697,,DE,,0.002372124428113163,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
TJX,TJX COMPANIES INC,0.002362639739091194,,TJX,,0.002366255262530731,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
VRTX,VERTEX PHARMACEUTICALS INC,0.002081090236795492,,VRTX,,0.0020842749079099374,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
NEM,NEWMONT CORP,0.0020680097953305926,,NEM,,0.0020711744495791854,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
DHR,DANAHER CORP,0.002064159665388707,,DHR,,0.0020673184278228096,TRUE,2026-08-22,U_2026-08-22_105850,ada3c779e8d04137
