symbol_original,company,exchange,exchange_last_sale_at_universe_build,exchange_market_cap_at_universe_build,country,ipo_year,sector_raw,industry_raw,symbol_yahoo,security_type,sector_exchange_clean,industry_clean,sp500_symbol_original,sp500_company,sp500_weight,sp500_sector_raw,sp500_sector_clean,is_sp500,benchmark_group,sector_clean,sector_display,industry_display,symbol_was_normalized,universe_as_of,universe_build_id,security_type_method,source_record,universe_symbol_hash
2602335D,CONTRA HOLOGIC INCORPO,,,,,,,,2602335D,Common Equity,,,2602335D,CONTRA HOLOGIC INCORPO,3.0046922776954635e-8,,,TRUE,S&P 500,,Unclassified,Unclassified,FALSE,2026-08-22,U_2026-08-22_105850,S&P 500 constituent supplement,S&P 500 supplement,ada3c779e8d04137
A,Agilent Technologies Inc. Common Stock,NYSE,159,44906679096,United States,1999,,Biotechnology: Laboratory Analytical Instruments,A,Common Equity,,Biotechnology: Laboratory Analytical Instruments,A,AGILENT TECHNOLOGIES INC,6.728006791806425e-4,,,TRUE,S&P 500,,Unclassified,Biotechnology: Laboratory Analytical Instruments,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AA,Alcoa Corporation Common Stock,NYSE,51.85,13683704723,United States,2016,,Aluminum,AA,Common Equity,,Aluminum,,,,,,FALSE,Broader Market,,Unclassified,Aluminum,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,0.97,66410099,China,2008,,Other Consumer Services,AACG,ADR,,Other Consumer Services,,,,,,FALSE,Broader Market,,Unclassified,Other Consumer Services,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AADX,Applied Aerospace & Defense Inc. Common Stock,NYSE,14.96,2579007029,,2026,,Military/Government/Technical,AADX,Common Equity,,Military/Government/Technical,,,,,,FALSE,Broader Market,,Unclassified,Military/Government/Technical,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAL,American Airlines Group Inc. Common Stock,NASDAQ,13.82,9148424723,United States,,,Air Freight/Delivery Services,AAL,Common Equity,,Air Freight/Delivery Services,,,,,,FALSE,Broader Market,,Unclassified,Air Freight/Delivery Services,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAME,Atlantic American Corporation Common Stock,NASDAQ,1.35,27536258,United States,,,Life Insurance,AAME,Common Equity,,Life Insurance,,,,,,FALSE,Broader Market,,Unclassified,Life Insurance,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,92.3,3275738814,United Kingdom,2014,,Investment Managers,AAMI,Common Equity,,Investment Managers,,,,,,FALSE,Broader Market,,Unclassified,Investment Managers,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,124.82,10555932162,United States,2013,,Semiconductors,AAOI,Common Equity,,Semiconductors,,,,,,FALSE,Broader Market,,Unclassified,Semiconductors,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAON,AAON Inc. Common Stock,NASDAQ,79.44,6550117082,United States,,,Industrial Machinery/Components,AAON,Common Equity,,Industrial Machinery/Components,,,,,,FALSE,Broader Market,,Unclassified,Industrial Machinery/Components,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAP,Advance Auto Parts Inc.,NYSE,42.58,2571180909,United States,,,Auto & Home Supply Stores,AAP,Common Equity,,Auto & Home Supply Stores,,,,,,FALSE,Broader Market,,Unclassified,Auto & Home Supply Stores,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,17,1586619316,China,2025,,Biotechnology: Pharmaceutical Preparations,AAPG,Common Equity,,Biotechnology: Pharmaceutical Preparations,,,,,,FALSE,Broader Market,,Unclassified,Biotechnology: Pharmaceutical Preparations,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAPL,Apple Inc. Common Stock,NASDAQ,309.35,4514709583000,United States,1980,,Computer Manufacturing,AAPL,Common Equity,,Computer Manufacturing,AAPL,APPLE INC,0.06956319336091206,,,TRUE,S&P 500,,Unclassified,Computer Manufacturing,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AARD,Aardvark Therapeutics Inc. Common Stock,NASDAQ,6.82,149254650,United States,2025,,Biotechnology: Pharmaceutical Preparations,AARD,Common Equity,,Biotechnology: Pharmaceutical Preparations,,,,,,FALSE,Broader Market,,Unclassified,Biotechnology: Pharmaceutical Preparations,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAT,American Assets Trust Inc. Common Stock,NYSE,22.83,1401858183,United States,2011,,Real Estate Investment Trusts,AAT,Common Equity,,Real Estate Investment Trusts,,,,,,FALSE,Broader Market,,Unclassified,Real Estate Investment Trusts,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
AAUC,Allied Gold Corporation Common Shares,NYSE,23.58,3285823317,,2025,,,AAUC,Common Equity,,,,,,,,FALSE,Broader Market,,Unclassified,Unclassified,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABAT,American Battery Technology Company Common Stock,NASDAQ,2.57,350585031,United States,,,Mining & Quarrying of Nonmetallic Minerals (No Fuels),ABAT,Common Equity,,Mining & Quarrying of Nonmetallic Minerals (No Fuels),,,,,,FALSE,Broader Market,,Unclassified,Mining & Quarrying of Nonmetallic Minerals (No Fuels),FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABBV,AbbVie Inc. Common Stock,NYSE,264.96,468215395834,United States,2012,,Biotechnology: Pharmaceutical Preparations,ABBV,Common Equity,,Biotechnology: Pharmaceutical Preparations,ABBV,ABBVIE INC,0.007036768970262411,,,TRUE,S&P 500,,Unclassified,Biotechnology: Pharmaceutical Preparations,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABCB,Ameris Bancorp Common Stock,NYSE,86.2,5784644002,United States,1994,,Major Banks,ABCB,Common Equity,,Major Banks,,,,,,FALSE,Broader Market,,Unclassified,Major Banks,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,11.32,3335613822,Canada,2020,,Biotechnology: Pharmaceutical Preparations,ABCL,Common Equity,,Biotechnology: Pharmaceutical Preparations,,,,,,FALSE,Broader Market,,Unclassified,Biotechnology: Pharmaceutical Preparations,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,6.09,348250664,United States,,,Biotechnology: Pharmaceutical Preparations,ABEO,Common Equity,,Biotechnology: Pharmaceutical Preparations,,,,,,FALSE,Broader Market,,Unclassified,Biotechnology: Pharmaceutical Preparations,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,2.88,45393519617,Brazil,2013,,Beverages (Production/Distribution),ABEV,ADR,,Beverages (Production/Distribution),,,,,,FALSE,Broader Market,,Unclassified,Beverages (Production/Distribution),FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABG,Asbury Automotive Group Inc Common Stock,NYSE,214.81,3856251291,United States,2002,,Retail-Auto Dealers and Gas Stations,ABG,Common Equity,,Retail-Auto Dealers and Gas Stations,,,,,,FALSE,Broader Market,,Unclassified,Retail-Auto Dealers and Gas Stations,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
ABLV,Able View Global Inc. Class B Ordinary Shares,NASDAQ,0.8492,41941922,China,,,Other Consumer Services,ABLV,Common Equity,,Other Consumer Services,,,,,,FALSE,Broader Market,,Unclassified,Other Consumer Services,FALSE,2026-08-22,U_2026-08-22_105850,Heuristic name-and-symbol rules,Exchange directory,ada3c779e8d04137
